audio,台語漢字,audioText,primaryTranslation,secondaryTranslation,learningSource,tags,learningSourceLink
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_01_03.mp3,多謝你,To-sia--Ií,謝謝你,Thank you!,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_02_03.mp3,按呢好,Án-ne hó!,這樣好,It’s good like this.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_03_03.mp3,我伨你,Guá thin--lí.,我支持你,I support you.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_04_03.mp3,你講啥,Lí kóng siánn,你說什麼,What did you say?,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_05_03.mp3,著來呢,Tio̍h lâi--neh!,要來喔,Coming!,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_06_03.mp3,伊人直好,I lâng tsin hó.,他待人很好,He’s good person.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_07_03.mp3,講予伊知,Kóng hōo i tsai.,告訴他讓他知道。,Tell him so he understands.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_08_04.mp3,有要緊無,Ū iàu-kín--bô,事情嚴不嚴重。,Are things urgent/bad?,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_09_04.mp3,好膽莫走,Hó-tánn mài tsáu,有膽就不要逃跑。,"Don’t walk away, scaredy cat! ",MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_10_04.mp3,你莫怪伊,Lí mài kuài--i.,你別責怪他。,Don’t blame me.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_11_04.mp3,你捌伊無?,Lí bat--i--bô?,你認識他嗎?,Do you know him?,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_12_04.mp3,有這款可能,Ü tsit khuán khó-ling,有這種可能。,There’s this possibility.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_13_04.mp3,你共我記咧,Lí ka guá ki--leh.,你給我記住。,You better remember! ,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_14_04.mp3,著我的番矣,Tioh guá ê huan--ah.,輪到我了。,It’s my turn.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_15_05.mp3,伊懸我一輩,I kuân guá tsit puè,他長我一個輩分。,He’s one generation older than me.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_16_05.mp3,我佮伊無親。,Guá kah i bô tshin.,我和他不親近。,I’m not close with him.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_17_05.mp3,你是按怎無來？,Lí si-án-tsuánn bô lâi?,你為什麼沒有來？,Why didn’t you come?,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_18_05.mp3,我的冊借人矣。,Guá ê tsheh tsioh--lâng--ah.,我的書借人了。,I lent my book to someone already.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_19_05-1.mp3,你莫佇遐假赘。,Lí mai ti hia ké-gâu.,你不要自作聰明。,You think you’re so smart! (You’re not that smart.) ,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_20_05.mp3,好啦！莫吵啦！,Hó--lah! Mài tshá--lah!,好啦！別吵啦！,Ok! Stop arguing.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_21_05.mp3,伊定定得失人。,I tiann-tiann tik-sit--lâng.,他常常得罪人。,You often offend others.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_22_06.mp3,我比你較濟歲。,Guá pí lí khah tsē huè.,我年紀比你大。,I'm older than you.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_23_06.mp3,有也好，無也好。,"Ū iā-hó, bô iā-hó.",有也好，没有也好。,It’s ok either way.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_24_06.mp3,他們兩个個性會合。,In nn̄g ê kò-sing ē-ha̍h.,他們兩個個性合得來。,Those two’s personalities are compatible.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_25_06.mp3,我同意你的看法。,Guá tông-ì lí ê khuànn-huat.,我贊成你的看法。,I agree with your opinion,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_26_06.mp3,阿英仔真好笑神,A-ing--á tsin hó-tshiò-sîn.,阿英經常面帶笑容.,A-ing often is smiling.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_27_06.mp3,咱暫時袂當相見。,Lán tsiām-sî bê-tàng sio-kìnn.,我們暫時不能見面。,We currently aren’t able to meet.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_28_06.mp3,做人就愛捌道理。,Tsò-lâng tō ài bat tō-lí.,做人要懂道理。,It’s important as people to understand logic.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_29_07.mp3,伊是一个普通人。,I sī tsi̍t ê phóo-thong lâng.,他是一般人。,He’s a normal person.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_30_07.mp3,你按呢講無毋著。,Lí án-ne kóng bô m̄-tio̍h.,你這麼說沒錯。,What you’re saying isn’t wrong.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_31_07.mp3,你猶有啥物代誌？,Lí iáu-ū siánn-mih tāi-tsì?,你還有什麼事情？,What other matters do you have? ,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_32_07.mp3,閣講嘛是無彩エ。,Koh kóng mā sī bô-tshái-kang.,再說什麼都是白費工夫。,Saying anything else is just a waste of time. ,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_33_07.mp3,下早仔伊有來揣你。,E-tsái-á i ū lâi tshuē—lí.,今天早上他來找你。,"This morning, she came to look for you.",MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_34_07.mp3,你講話母好遐大聲。,Lí kóng-uē m̄ hó hiah tuā-siann.,你講話不要那麼大聲。,You shouldn’t be so loud when you talk.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_35_07.mp3,兄弟姊妹著愛仝心。,Hiann-tī-tsí-muē tio̍h-ài kāng-sim.,兄弟姊妹一定要同心。,Siblings definitely should be of one mind.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_36_07.mp3,你來遮有啥物目的？,Lí lâi tsia & siánn-mih bo̍k-ti̍k?,你來這有什麼目的？,What’s your objective for coming here?,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_37_08.mp3,我相信你嘛有同感。,Guá siong-sìn lí mā ū tông-kám.,我相信你也有同感。,I believe you have the same feelings.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_38_08.mp3,希望你會使成全我。,Hi-bāng lí ē-sái sîng-tsuân--guá.,希望你可以成全我。,I hope you can complete me.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_39_08.mp3,請逐家恬恬聽我講。,Tshiánn ta̍k-ke tiām-tiām thiann guá kóng.,請大家安靜聽我說話。,"Please, everyone listen to me.",MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_40_08.mp3,你緊來共我鬥跤手。,Lí kín lâi kā guá tàu-kha-tshiú.,你快來幫我。,Hurry up and come help me.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_41_08.mp3,啥人教你按呢做的？,Siánn-lâng kà lí án-ne tsò--ê?,誰教你這樣做的？,Why taught you to do it like this?,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_42_08.mp3,你陪我去彼爿好無？,Lí puê guá khì hit-pîng hó--bô?,你陪我去那邊好不好？,Can you go over there with me?,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_43_09.mp3,這个消息敢有確實？,Tsit ê siau-sit kám ū khak-si̍t?,這倜消息正確嗎？,Is this news accurate?,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_44_09.mp3,你莫閣學伊講話矣。,Lí mài koh oh i kóng-uē—ah.,你别再學他說話了。,Stop trying to speak like him.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_45_09.mp3,諾，原來是按呢喔！,"Hiooh, guân-lâi sī án-ne--ooh!",哦，原來是這樣喔！,Oh! So it’s like this.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_46_09-1.mp3,邀請伊來参加活動。,lau-tshiánn i lâi tsham-ka ua̍h-tāng.,邀請他來參加活動。,Invite her to attend the activity.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_47_09.mp3,你這个意見真寶貴。,Lí tsit ê ì-kiàn tsin pó-kuì.,你這個意見很寶貴。,Your opinion is highly valued.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_48_09.mp3,我毋知發生啥物代誌。,Guá m̄-tsai huat-sing siánn-mih tāi-tsì.,我不知道發生什麼事。,I don’t know what happened.,MOE_1,人際,temp
https://language.moe.gov.tw/upload/download/jts/03%E8%AA%9E%E5%8F%A51(%E9%9F%B3%E6%AA%94)/0301_01_49_09.mp3,我早就知影伊有問題。,Guá tsá tō tsai-iánn i ū būn-tê.,我早就知道他有問題。,I already knew way back that he has problems. ,MOE_1,人際,temp